,Electricity (%_elec),Space Heating (%_sh),Passanger mobility (%_pass),Freight mobility (%_freight),PV,Wind_onshore,Wind_offshore,Hydro_river,Solar
45,0.000142581965702619,0.00018610401220310602,5.874198171949529e-05,0.00011415525114155251,0,0.380450954,0.897219882,0.35734144328468426,0
46,0.00012467274844725,0.00018942729813530435,3.759486830047698e-05,0.00011415525114155251,0,0.36295445,0.871317748,0.35709330275999573,0
47,0.00013647131002965,0.00019441222703360183,2.3496792687798115e-05,0.00011415525114155251,0,0.303010664,0.819875035,0.35684516223530655,0
48,0.000134050106838473,0.0001993971559318993,9.398717075119246e-06,0.00011415525114155251,0,0.248376406,0.714065571,0.3565970217106181,0
49,0.000105649009088005,0.00020105879889799848,5.874198171949529e-06,0.00011415525114155251,0,0.234378758,0.646272115,0.35644431984927055,0
50,7.90542057817487e-05,0.00020272044186409762,2.3496792687798115e-06,0.00011415525114155251,0,0.170047483,0.539177899,0.35644431984927055,0
51,6.78321211496288e-05,0.00020272044186409762,1.1748396343899057e-06,0.00011415525114155251,0,0.179797953,0.391248947,0.3564252321166026,0
52,5.77629904180692e-05,0.00020438208483019682,1.409807561267887e-05,0.00011415525114155251,0,0.233091465,0.471672283,0.3564252321166026,0
53,5.89928079120001e-05,0.00020438208483019682,3.759486830047698e-05,0.00011415525114155251,0,0.324128516,0.523020219,0.3564252321166026,0
54,7.24823685485552e-05,0.00020438208483019682,9.398717075119246e-05,0.00011415525114155251,0,0.419642141,0.655588318,0.3564252321166026,0
55,0.00010049914833217,0.00020438208483019682,0.0001821001433304354,0.00011415525114155251,0,0.439610783,0.671577506,0.3563966005175997,0
56,0.000122174681662702,0.00020438208483019682,0.00015860335064263727,0.00011415525114155251,0,0.328295516,0.574887672,0.3563966005175997,0
57,0.000145349055063964,0.00020438208483019682,0.00014685495429873823,0.00011415525114155251,1.71475e-06,0.328529367,0.522714827,0.3563966005175997,0
58,0.000154918572438614,0.00017281086847431275,0.0001644775488145868,0.00011415525114155251,0.001401807,0.265741508,0.662952822,0.3563966005175997,0.010492938
59,0.000156494276102713,0.00013957800915232954,0.00018797434150238492,0.00011415525114155251,0.005600368,0.203597295,0.541203314,0.3563679689185968,0.018575869
60,0.00015841586593698,0.00011797665059304043,0.00020677177565262342,0.00011415525114155251,0.009955828,0.109103705,0.349315501,0.3563679689185968,0.021325138
61,0.000157724093596644,0.00011465336466084212,0.00018797434150238492,0.00011415525114155251,0.018857086,0.106947822,0.447788543,0.3563679689185968,0.00556733
62,0.000153035414401032,0.00011631500762694127,0.00019032402077116473,0.00011415525114155251,0.025908131,0.132188132,0.382701488,0.3563679689185968,0.004505762
63,0.000145810236624188,0.00011963829355913958,0.00021382081345896285,0.00011415525114155251,0.025198225,0.125110244,0.230560236,0.35634888118592883,0.013462065
64,0.000144734146316998,0.00013126979432183372,0.00022321953053408208,0.00011415525114155251,0.01001413,0.201056115,0.013609239,0.35634888118592883,0.004489093
65,0.000153650323147998,0.000144562938050627,0.00022321953053408208,0.00011415525114155251,0.001226902,0.350823155,0.011780399,0.35634888118592883,0
66,0.000181013762387961,0.0001495478669489245,0.0001644775488145868,0.00011415525114155251,0,0.321981541,0.036285454,0.35634888118592883,0
67,0.000180706308014479,0.00015619443881332114,0.00011748396343899057,0.00011415525114155251,0,0.180539594,0.340332772,0.35632024958692604,0
68,0.000166063793477363,0.0001611793677116186,8.811297257924293e-05,0.00011415525114155251,0,0.228859877,0.361969952,0.35632024958692604,0
69,0.000145810236624188,0.0001661642966099161,5.874198171949529e-05,0.00011415525114155251,0,0.174065264,0.385825611,0.35632024958692604,0
